Time,BM7,BM8,BM9,BM10
15.4373,4,9,8,7
15.466,7,6,7,3
15.4946,6,5,6,8
15.5233,3,4,9,9
15.5519,3,4,8,7
15.5767,3,1,9,8
15.6052,5,0,8,8
15.6338,7,7,6,8
15.6626,4,2,13,5
15.6913,6,4,8,9
15.7199,1,0,11,4
15.7446,8,0,7,10
15.7732,5,1,4,8
15.8017,3,6,7,7
15.8304,4,5,7,4
15.8551,8,5,7,9
15.8878,2,7,10,3
15.913,7,3,8,13
15.9411,3,5,8,4
15.9697,7,2,6,8
15.9983,4,3,10,5
16.023,1,3,7,7
16.0516,3,1,8,7
16.0803,1,2,5,9
16.109,7,3,9,9
16.1378,5,4,10,8
16.1624,5,3,9,8
16.1912,5,3,7,5
16.2198,5,5,6,7
16.2482,6,6,9,9
16.2768,3,2,9,8
16.3055,6,4,11,8
16.3302,6,3,8,5
16.3589,8,8,9,9
16.3878,5,2,8,8
16.4162,9,4,10,9
16.4449,9,2,6,7
16.4696,7,4,5,7
16.4982,3,3,11,9
16.5268,3,4,7,7
16.5554,4,1,8,7
16.5841,8,0,6,9
16.6088,3,8,8,6
16.6375,6,7,9,11
16.666,5,5,9,4
16.6946,4,7,8,9
16.7233,5,8,10,7
16.7519,5,6,10,4
16.7807,5,6,10,12
16.8054,9,4,7,7
16.834,3,5,9,7
16.8626,8,3,7,12
16.8912,9,4,7,6
16.916,4,5,8,4
16.9446,6,3,6,11
16.9733,6,5,10,5
17.0019,5,7,8,7
17.0305,3,4,6,6
17.0591,8,3,11,6
17.0878,6,6,11,3
17.1125,6,3,9,5
17.1411,4,2,5,3
17.1697,7,9,9,5
17.1986,10,5,5,6
17.2232,6,2,7,8
17.2518,6,5,8,7
17.2804,6,4,4,11
17.3091,2,9,10,3
17.3378,3,5,9,12
17.3668,5,4,10,8
17.3951,10,6,8,8
17.4198,0,7,9,7
17.4484,3,6,11,8
17.4769,4,7,8,7
17.5056,5,6,7,8
17.5303,5,7,9,5
17.559,5,9,10,6
17.5876,6,4,4,6
17.6163,6,2,9,8
17.6449,8,9,8,6
17.6735,5,4,10,8
17.6983,3,5,8,7
17.727,5,5,9,5
17.7556,7,5,4,6
17.7842,7,8,10,1
17.8129,5,8,8,15
17.8415,4,4,10,6
17.8662,8,5,8,6
17.8948,2,4,11,5
17.9233,6,2,8,8
17.952,8,4,9,7
17.9768,6,7,5,3
18.0054,8,5,6,5
18.0341,4,6,7,8
18.0627,6,9,5,6
18.0913,3,5,8,7
18.1161,8,4,8,6
18.1446,5,8,8,4
18.1733,2,3,8,8
18.2019,6,8,6,5
18.2308,4,6,10,7
18.2593,7,1,8,12
18.2879,2,7,11,8
18.3125,6,5,4,7
18.3411,0,6,7,7
18.3698,7,3,7,4
18.3985,5,5,12,6
18.4233,2,2,8,8
18.4519,4,8,7,8
18.4807,8,2,12,8
